"id","year_film","year_ceremony","ceremony","category","name","film","winner"
719,1938,1939,11,"MUSIC (Scoring)","Franz Waxman","The Young in Heart","NOMINATED"
844,1939,1940,12,"MUSIC (Original Score)","Max Steiner","Dark Victory","NOMINATED"
845,1939,1940,12,"MUSIC (Original Score)","Werner Janssen","Eternally Yours","NOMINATED"
846,1939,1940,12,"MUSIC (Original Score)","Victor Young","Golden Boy","NOMINATED"
847,1939,1940,12,"MUSIC (Original Score)","Max Steiner","Gone with the Wind","NOMINATED"
848,1939,1940,12,"MUSIC (Original Score)","Victor Young","Gulliver's Travels","NOMINATED"
849,1939,1940,12,"MUSIC (Original Score)","Lud Gluskin, Lucien Moraweck","The Man in the Iron Mask","NOMINATED"
850,1939,1940,12,"MUSIC (Original Score)","Victor Young","Man of Conquest","NOMINATED"
851,1939,1940,12,"MUSIC (Original Score)","Anthony Collins","Nurse Edith Cavell","NOMINATED"
852,1939,1940,12,"MUSIC (Original Score)","Aaron Copland","Of Mice and Men","NOMINATED"
853,1939,1940,12,"MUSIC (Original Score)","Alfred Newman","The Rains Came","NOMINATED"
854,1939,1940,12,"MUSIC (Original Score)","Herbert Stothart","The Wizard of Oz","WINNER"
855,1939,1940,12,"MUSIC (Original Score)","Alfred Newman","Wuthering Heights","NOMINATED"
856,1939,1940,12,"MUSIC (Scoring)","George E. Stoll, Roger Edens","Babes in Arms","NOMINATED"
857,1939,1940,12,"MUSIC (Scoring)","Charles Previn","First Love","NOMINATED"
858,1939,1940,12,"MUSIC (Scoring)","Phil Boutelje, Arthur Lange","The Great Victor Herbert","NOMINATED"
859,1939,1940,12,"MUSIC (Scoring)","Alfred Newman","The Hunchback of Notre Dame","NOMINATED"
860,1939,1940,12,"MUSIC (Scoring)","Lou Forbes","Intermezzo","NOMINATED"
861,1939,1940,12,"MUSIC (Scoring)","Dimitri Tiomkin","Mr. Smith Goes to Washington","NOMINATED"
862,1939,1940,12,"MUSIC (Scoring)","Aaron Copland","Of Mice and Men","NOMINATED"
863,1939,1940,12,"MUSIC (Scoring)","Erich Wolfgang Korngold","The Private Lives of Elizabeth and Essex","NOMINATED"
