"id","year_film","year_ceremony","ceremony","category","name","film","winner"
2078,1947,1948,20,"ACTOR IN A SUPPORTING ROLE","Thomas Gomez","Ride the Pink Horse","NOMINATED"
2079,1947,1948,20,"ACTOR IN A SUPPORTING ROLE","Edmund Gwenn","Miracle on 34th Street","WINNER"
2080,1947,1948,20,"ACTOR IN A SUPPORTING ROLE","Robert Ryan","Crossfire","NOMINATED"
2081,1947,1948,20,"ACTOR IN A SUPPORTING ROLE","Richard Widmark","Kiss of Death","NOMINATED"
2182,1948,1949,21,"ACTOR IN A SUPPORTING ROLE","Charles Bickford","Johnny Belinda","NOMINATED"
2183,1948,1949,21,"ACTOR IN A SUPPORTING ROLE","José Ferrer","Joan of Arc","NOMINATED"
2184,1948,1949,21,"ACTOR IN A SUPPORTING ROLE","Oscar Homolka","I Remember Mama","NOMINATED"
2185,1948,1949,21,"ACTOR IN A SUPPORTING ROLE","Walter Huston","The Treasure of the Sierra Madre","WINNER"
2186,1948,1949,21,"ACTOR IN A SUPPORTING ROLE","Cecil Kellaway","The Luck of the Irish","NOMINATED"
2291,1949,1950,22,"ACTOR IN A SUPPORTING ROLE","John Ireland","All the King's Men","NOMINATED"
2292,1949,1950,22,"ACTOR IN A SUPPORTING ROLE","Dean Jagger","Twelve O'Clock High","WINNER"
2293,1949,1950,22,"ACTOR IN A SUPPORTING ROLE","Arthur Kennedy","Champion","NOMINATED"
2294,1949,1950,22,"ACTOR IN A SUPPORTING ROLE","Ralph Richardson","The Heiress","NOMINATED"
2295,1949,1950,22,"ACTOR IN A SUPPORTING ROLE","James Whitmore","Battleground","NOMINATED"
2403,1950,1951,23,"ACTOR IN A SUPPORTING ROLE","Jeff Chandler","Broken Arrow","NOMINATED"
2404,1950,1951,23,"ACTOR IN A SUPPORTING ROLE","Edmund Gwenn","Mister 880","NOMINATED"
2405,1950,1951,23,"ACTOR IN A SUPPORTING ROLE","Sam Jaffe","The Asphalt Jungle","NOMINATED"
2406,1950,1951,23,"ACTOR IN A SUPPORTING ROLE","George Sanders","All about Eve","WINNER"
2407,1950,1951,23,"ACTOR IN A SUPPORTING ROLE","Erich von Stroheim","Sunset Blvd.","NOMINATED"
2515,1951,1952,24,"ACTOR IN A SUPPORTING ROLE","Leo Genn","Quo Vadis","NOMINATED"
2516,1951,1952,24,"ACTOR IN A SUPPORTING ROLE","Kevin McCarthy","Death of a Salesman","NOMINATED"
2517,1951,1952,24,"ACTOR IN A SUPPORTING ROLE","Karl Malden","A Streetcar Named Desire","WINNER"
2518,1951,1952,24,"ACTOR IN A SUPPORTING ROLE","Peter Ustinov","Quo Vadis","NOMINATED"
2519,1951,1952,24,"ACTOR IN A SUPPORTING ROLE","Gig Young","Come Fill the Cup","NOMINATED"
2633,1952,1953,25,"ACTOR IN A SUPPORTING ROLE","Richard Burton","My Cousin Rachel","NOMINATED"
2634,1952,1953,25,"ACTOR IN A SUPPORTING ROLE","Arthur Hunnicutt","The Big Sky","NOMINATED"
2635,1952,1953,25,"ACTOR IN A SUPPORTING ROLE","Victor McLaglen","The Quiet Man","NOMINATED"
2636,1952,1953,25,"ACTOR IN A SUPPORTING ROLE","Jack Palance","Sudden Fear","NOMINATED"
2637,1952,1953,25,"ACTOR IN A SUPPORTING ROLE","Anthony Quinn","Viva Zapata!","WINNER"
2762,1953,1954,26,"ACTOR IN A SUPPORTING ROLE","Eddie Albert","Roman Holiday","NOMINATED"
2763,1953,1954,26,"ACTOR IN A SUPPORTING ROLE","Brandon De Wilde","Shane","NOMINATED"
2764,1953,1954,26,"ACTOR IN A SUPPORTING ROLE","Jack Palance","Shane","NOMINATED"
2765,1953,1954,26,"ACTOR IN A SUPPORTING ROLE","Frank Sinatra","From Here to Eternity","WINNER"
2766,1953,1954,26,"ACTOR IN A SUPPORTING ROLE","Robert Strauss","Stalag 17","NOMINATED"
2891,1954,1955,27,"ACTOR IN A SUPPORTING ROLE","Lee J. Cobb","On the Waterfront","NOMINATED"
2892,1954,1955,27,"ACTOR IN A SUPPORTING ROLE","Karl Malden","On the Waterfront","NOMINATED"
2893,1954,1955,27,"ACTOR IN A SUPPORTING ROLE","Edmond O'Brien","The Barefoot Contessa","WINNER"
2894,1954,1955,27,"ACTOR IN A SUPPORTING ROLE","Rod Steiger","On the Waterfront","NOMINATED"
2895,1954,1955,27,"ACTOR IN A SUPPORTING ROLE","Tom Tully","The Caine Mutiny","NOMINATED"
3018,1955,1956,28,"ACTOR IN A SUPPORTING ROLE","Arthur Kennedy","Trial","NOMINATED"
3019,1955,1956,28,"ACTOR IN A SUPPORTING ROLE","Jack Lemmon","Mister Roberts","WINNER"
3020,1955,1956,28,"ACTOR IN A SUPPORTING ROLE","Joe Mantell","Marty","NOMINATED"
3021,1955,1956,28,"ACTOR IN A SUPPORTING ROLE","Sal Mineo","Rebel without a Cause","NOMINATED"
3022,1955,1956,28,"ACTOR IN A SUPPORTING ROLE","Arthur O'Connell","Picnic","NOMINATED"
3140,1956,1957,29,"ACTOR IN A SUPPORTING ROLE","Don Murray","Bus Stop","NOMINATED"
3141,1956,1957,29,"ACTOR IN A SUPPORTING ROLE","Anthony Perkins","Friendly Persuasion","NOMINATED"
3142,1956,1957,29,"ACTOR IN A SUPPORTING ROLE","Anthony Quinn","Lust for Life","WINNER"
3143,1956,1957,29,"ACTOR IN A SUPPORTING ROLE","Mickey Rooney","The Bold and the Brave","NOMINATED"
3144,1956,1957,29,"ACTOR IN A SUPPORTING ROLE","Robert Stack","Written on the Wind","NOMINATED"
3268,1957,1958,30,"ACTOR IN A SUPPORTING ROLE","Red Buttons","Sayonara","WINNER"
3269,1957,1958,30,"ACTOR IN A SUPPORTING ROLE","Vittorio De Sica","A Farewell to Arms","NOMINATED"
3270,1957,1958,30,"ACTOR IN A SUPPORTING ROLE","Sessue Hayakawa","The Bridge on the River Kwai","NOMINATED"
3271,1957,1958,30,"ACTOR IN A SUPPORTING ROLE","Arthur Kennedy","Peyton Place","NOMINATED"
3272,1957,1958,30,"ACTOR IN A SUPPORTING ROLE","Russ Tamblyn","Peyton Place","NOMINATED"
3368,1958,1959,31,"ACTOR IN A SUPPORTING ROLE","Theodore Bikel","The Defiant Ones","NOMINATED"
3369,1958,1959,31,"ACTOR IN A SUPPORTING ROLE","Lee J. Cobb","The Brothers Karamazov","NOMINATED"
3370,1958,1959,31,"ACTOR IN A SUPPORTING ROLE","Burl Ives","The Big Country","WINNER"
3371,1958,1959,31,"ACTOR IN A SUPPORTING ROLE","Arthur Kennedy","Some Came Running","NOMINATED"
3372,1958,1959,31,"ACTOR IN A SUPPORTING ROLE","Gig Young","Teacher's Pet","NOMINATED"
3479,1959,1960,32,"ACTOR IN A SUPPORTING ROLE","Hugh Griffith","Ben-Hur","WINNER"
3480,1959,1960,32,"ACTOR IN A SUPPORTING ROLE","Arthur O'Connell","Anatomy of a Murder","NOMINATED"
3481,1959,1960,32,"ACTOR IN A SUPPORTING ROLE","George C. Scott","Anatomy of a Murder","NOMINATED"
3482,1959,1960,32,"ACTOR IN A SUPPORTING ROLE","Robert Vaughn","The Young Philadelphians","NOMINATED"
3483,1959,1960,32,"ACTOR IN A SUPPORTING ROLE","Ed Wynn","The Diary of Anne Frank","NOMINATED"
3598,1960,1961,33,"ACTOR IN A SUPPORTING ROLE","Peter Falk","Murder, Inc.","NOMINATED"
3599,1960,1961,33,"ACTOR IN A SUPPORTING ROLE","Jack Kruschen","The Apartment","NOMINATED"
3600,1960,1961,33,"ACTOR IN A SUPPORTING ROLE","Sal Mineo","Exodus","NOMINATED"
3601,1960,1961,33,"ACTOR IN A SUPPORTING ROLE","Peter Ustinov","Spartacus","WINNER"
3602,1960,1961,33,"ACTOR IN A SUPPORTING ROLE","Chill Wills","The Alamo","NOMINATED"
3720,1961,1962,34,"ACTOR IN A SUPPORTING ROLE","George Chakiris","West Side Story","WINNER"
3721,1961,1962,34,"ACTOR IN A SUPPORTING ROLE","Montgomery Clift","Judgment at Nuremberg","NOMINATED"
3722,1961,1962,34,"ACTOR IN A SUPPORTING ROLE","Peter Falk","Pocketful of Miracles","NOMINATED"
3723,1961,1962,34,"ACTOR IN A SUPPORTING ROLE","Jackie Gleason","The Hustler","NOMINATED"
3724,1961,1962,34,"ACTOR IN A SUPPORTING ROLE","George C. Scott","The Hustler","NOMINATED"
3844,1962,1963,35,"ACTOR IN A SUPPORTING ROLE","Ed Begley","Sweet Bird of Youth","WINNER"
3845,1962,1963,35,"ACTOR IN A SUPPORTING ROLE","Victor Buono","What Ever Happened to Baby Jane?","NOMINATED"
3846,1962,1963,35,"ACTOR IN A SUPPORTING ROLE","Telly Savalas","Birdman of Alcatraz","NOMINATED"
3847,1962,1963,35,"ACTOR IN A SUPPORTING ROLE","Omar Sharif","Lawrence of Arabia","NOMINATED"
3848,1962,1963,35,"ACTOR IN A SUPPORTING ROLE","Terence Stamp","Billy Budd","NOMINATED"
3962,1963,1964,36,"ACTOR IN A SUPPORTING ROLE","Nick Adams","Twilight of Honor","NOMINATED"
3963,1963,1964,36,"ACTOR IN A SUPPORTING ROLE","Bobby Darin","Captain Newman, M.D.","NOMINATED"
3964,1963,1964,36,"ACTOR IN A SUPPORTING ROLE","Melvyn Douglas","Hud","WINNER"
3965,1963,1964,36,"ACTOR IN A SUPPORTING ROLE","Hugh Griffith","Tom Jones","NOMINATED"
3966,1963,1964,36,"ACTOR IN A SUPPORTING ROLE","John Huston","The Cardinal","NOMINATED"
4086,1964,1965,37,"ACTOR IN A SUPPORTING ROLE","John Gielgud","Becket","NOMINATED"
4087,1964,1965,37,"ACTOR IN A SUPPORTING ROLE","Stanley Holloway","My Fair Lady","NOMINATED"
4088,1964,1965,37,"ACTOR IN A SUPPORTING ROLE","Edmond O'Brien","Seven Days in May","NOMINATED"
4089,1964,1965,37,"ACTOR IN A SUPPORTING ROLE","Lee Tracy","The Best Man","NOMINATED"
4090,1964,1965,37,"ACTOR IN A SUPPORTING ROLE","Peter Ustinov","Topkapi","WINNER"
4208,1965,1966,38,"ACTOR IN A SUPPORTING ROLE","Martin Balsam","A Thousand Clowns","WINNER"
4209,1965,1966,38,"ACTOR IN A SUPPORTING ROLE","Ian Bannen","The Flight of the Phoenix","NOMINATED"
4210,1965,1966,38,"ACTOR IN A SUPPORTING ROLE","Tom Courtenay","Doctor Zhivago","NOMINATED"
4211,1965,1966,38,"ACTOR IN A SUPPORTING ROLE","Michael Dunn","Ship of Fools","NOMINATED"
4212,1965,1966,38,"ACTOR IN A SUPPORTING ROLE","Frank Finlay","Othello","NOMINATED"
4333,1966,1967,39,"ACTOR IN A SUPPORTING ROLE","Mako","The Sand Pebbles","NOMINATED"
4334,1966,1967,39,"ACTOR IN A SUPPORTING ROLE","James Mason","Georgy Girl","NOMINATED"
4335,1966,1967,39,"ACTOR IN A SUPPORTING ROLE","Walter Matthau","The Fortune Cookie","WINNER"
4336,1966,1967,39,"ACTOR IN A SUPPORTING ROLE","George Segal","Who's Afraid of Virginia Woolf?","NOMINATED"
4337,1966,1967,39,"ACTOR IN A SUPPORTING ROLE","Robert Shaw","A Man for All Seasons","NOMINATED"
4457,1967,1968,40,"ACTOR IN A SUPPORTING ROLE","John Cassavetes","The Dirty Dozen","NOMINATED"
4458,1967,1968,40,"ACTOR IN A SUPPORTING ROLE","Gene Hackman","Bonnie and Clyde","NOMINATED"
4459,1967,1968,40,"ACTOR IN A SUPPORTING ROLE","Cecil Kellaway","Guess Who's Coming to Dinner","NOMINATED"
4460,1967,1968,40,"ACTOR IN A SUPPORTING ROLE","George Kennedy","Cool Hand Luke","WINNER"
4461,1967,1968,40,"ACTOR IN A SUPPORTING ROLE","Michael J. Pollard","Bonnie and Clyde","NOMINATED"
4566,1968,1969,41,"ACTOR IN A SUPPORTING ROLE","Jack Albertson","The Subject Was Roses","WINNER"
4567,1968,1969,41,"ACTOR IN A SUPPORTING ROLE","Seymour Cassel","Faces","NOMINATED"
4568,1968,1969,41,"ACTOR IN A SUPPORTING ROLE","Daniel Massey","Star!","NOMINATED"
4569,1968,1969,41,"ACTOR IN A SUPPORTING ROLE","Jack Wild","Oliver!","NOMINATED"
4570,1968,1969,41,"ACTOR IN A SUPPORTING ROLE","Gene Wilder","The Producers","NOMINATED"
4674,1969,1970,42,"ACTOR IN A SUPPORTING ROLE","Rupert Crosse","The Reivers","NOMINATED"
4675,1969,1970,42,"ACTOR IN A SUPPORTING ROLE","Elliott Gould","Bob & Carol & Ted & Alice","NOMINATED"
4676,1969,1970,42,"ACTOR IN A SUPPORTING ROLE","Jack Nicholson","Easy Rider","NOMINATED"
4677,1969,1970,42,"ACTOR IN A SUPPORTING ROLE","Anthony Quayle","Anne of the Thousand Days","NOMINATED"
4678,1969,1970,42,"ACTOR IN A SUPPORTING ROLE","Gig Young","They Shoot Horses, Don't They?","WINNER"
4779,1970,1971,43,"ACTOR IN A SUPPORTING ROLE","Richard Castellano","Lovers and Other Strangers","NOMINATED"
4780,1970,1971,43,"ACTOR IN A SUPPORTING ROLE","Chief Dan George","Little Big Man","NOMINATED"
4781,1970,1971,43,"ACTOR IN A SUPPORTING ROLE","Gene Hackman","I Never Sang for My Father","NOMINATED"
4782,1970,1971,43,"ACTOR IN A SUPPORTING ROLE","John Marley","Love Story","NOMINATED"
4783,1970,1971,43,"ACTOR IN A SUPPORTING ROLE","John Mills","Ryan's Daughter","WINNER"
4886,1971,1972,44,"ACTOR IN A SUPPORTING ROLE","Jeff Bridges","The Last Picture Show","NOMINATED"
4887,1971,1972,44,"ACTOR IN A SUPPORTING ROLE","Leonard Frey","Fiddler on the Roof","NOMINATED"
4888,1971,1972,44,"ACTOR IN A SUPPORTING ROLE","Richard Jaeckel","Sometimes a Great Notion","NOMINATED"
4889,1971,1972,44,"ACTOR IN A SUPPORTING ROLE","Ben Johnson","The Last Picture Show","WINNER"
4890,1971,1972,44,"ACTOR IN A SUPPORTING ROLE","Roy Scheider","The French Connection","NOMINATED"
4990,1972,1973,45,"ACTOR IN A SUPPORTING ROLE","Eddie Albert","The Heartbreak Kid","NOMINATED"
4991,1972,1973,45,"ACTOR IN A SUPPORTING ROLE","James Caan","The Godfather","NOMINATED"
4992,1972,1973,45,"ACTOR IN A SUPPORTING ROLE","Robert Duvall","The Godfather","NOMINATED"
