Year_Film,Year_Ceremony,Ceremony,Category,Name,Film,Winner
1938,1939,11,MUSIC (Original Score),Franz Waxman,The Young in Heart,NOMINATED
1938,1939,11,MUSIC (Scoring),Alfred Newman,Alexander's Ragtime Band,WINNER
1938,1939,11,MUSIC (Scoring),Victor Baravalle,Carefree,NOMINATED
1938,1939,11,MUSIC (Scoring),"Morris Stoloff, Gregory Stone",Girls' School,NOMINATED
1938,1939,11,MUSIC (Scoring),Alfred Newman,The Goldwyn Follies,NOMINATED
1938,1939,11,MUSIC (Scoring),Max Steiner,Jezebel,NOMINATED
1938,1939,11,MUSIC (Scoring),"Charles Previn, Frank Skinner",Mad about Music,NOMINATED
1938,1939,11,MUSIC (Scoring),Cy Feuer,Storm over Bengal,NOMINATED
1938,1939,11,MUSIC (Scoring),Herbert Stothart,Sweethearts,NOMINATED
1938,1939,11,MUSIC (Scoring),Marvin Hatley,There Goes My Heart,NOMINATED
1938,1939,11,MUSIC (Scoring),Boris Morros,Tropic Holiday,NOMINATED
1938,1939,11,MUSIC (Scoring),Franz Waxman,The Young in Heart,NOMINATED
1938,1939,11,MUSIC (Song),Music by Edward Ward; Lyrics by Chet Forrest and Bob Wright,Mannequin,NOMINATED
1938,1939,11,MUSIC (Song),Music and Lyrics by Irving Berlin,Carefree,NOMINATED
1938,1939,11,MUSIC (Song),Music by Lionel Newman; Lyrics by Arthur Quenzer,The Cowboy and the Lady,NOMINATED
1938,1939,11,MUSIC (Song),Music and Lyrics by Johnny Marvin,Under Western Stars,NOMINATED
1938,1939,11,MUSIC (Song),Music by Harry Warren; Lyrics by Johnny Mercer,Going Places,NOMINATED
1938,1939,11,MUSIC (Song),Music by Phil Charig; Lyrics by Arthur Quenzer,Merrily We Live,NOMINATED
1938,1939,11,MUSIC (Song),Music by Ben Oakland; Lyrics by Oscar Hammerstein II,The Lady Objects,NOMINATED
1938,1939,11,MUSIC (Song),Music by Jimmy McHugh; Lyrics by Harold Adamson,That Certain Age,NOMINATED
1938,1939,11,MUSIC (Song),Music and Lyrics by Irving Berlin,Alexander's Ragtime Band,NOMINATED
1938,1939,11,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,The Big Broadcast of 1938,WINNER
1938,1939,11,OUTSTANDING PRODUCTION,Warner Bros.-First National,The Adventures of Robin Hood,NOMINATED
1938,1939,11,OUTSTANDING PRODUCTION,20th Century-Fox,Alexander's Ragtime Band,NOMINATED
1938,1939,11,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Boys Town,NOMINATED
1938,1939,11,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Citadel,NOMINATED
1938,1939,11,OUTSTANDING PRODUCTION,Warner Bros.-First National,Four Daughters,NOMINATED
1938,1939,11,OUTSTANDING PRODUCTION,Realization D'Art Cinematographique,Grand Illusion,NOMINATED
1938,1939,11,OUTSTANDING PRODUCTION,Warner Bros.,Jezebel,NOMINATED
1938,1939,11,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Pygmalion,NOMINATED
1938,1939,11,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Test Pilot,NOMINATED
1938,1939,11,OUTSTANDING PRODUCTION,Columbia,You Can't Take It with You,WINNER
1938,1939,11,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Brave Little Tailor,NOMINATED
1938,1939,11,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Ferdinand the Bull,WINNER
1938,1939,11,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Good Scouts,NOMINATED
1938,1939,11,SHORT SUBJECT (Cartoon),Paramount,Hunky and Spunky,NOMINATED
1938,1939,11,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mother Goose Goes Hollywood,NOMINATED
1938,1939,11,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,The Great Heart,NOMINATED
1938,1939,11,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,That Mothers Might Live,WINNER
1938,1939,11,SHORT SUBJECT (One-reel),20th Century-Fox,Timber Toppers,NOMINATED
1938,1939,11,SHORT SUBJECT (Two-reel),Warner Bros.,Declaration of Independence,WINNER
1938,1939,11,SHORT SUBJECT (Two-reel),Warner Bros.,Swingtime in the Movies,NOMINATED
1938,1939,11,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,They're Always Caught,NOMINATED
1938,1939,11,SOUND RECORDING,"Republic Studio Sound Department, Charles L. Lootens, Sound Director",Army Girl,NOMINATED
1938,1939,11,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Cowboy and the Lady,WINNER
1938,1939,11,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Four Daughters,NOMINATED
1938,1939,11,SOUND RECORDING,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",If I Were King,NOMINATED
1938,1939,11,SOUND RECORDING,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director",Merrily We Live,NOMINATED
1938,1939,11,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Edmund H. Hansen, Sound Director",Suez,NOMINATED
1938,1939,11,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Sweethearts,NOMINATED
1938,1939,11,SOUND RECORDING,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",That Certain Age,NOMINATED
1938,1939,11,SOUND RECORDING,"RKO Radio Studio Sound Department, John Aalberg, Sound Director",Vivacious Lady,NOMINATED
1938,1939,11,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",You Can't Take It with You,NOMINATED
1938,1939,11,WRITING (Original Story),Irving Berlin,Alexander's Ragtime Band,NOMINATED
1938,1939,11,WRITING (Original Story),Rowland Brown,Angels with Dirty Faces,NOMINATED
1938,1939,11,WRITING (Original Story),John Howard Lawson,Blockade,NOMINATED
1938,1939,11,WRITING (Original Story),"Dore Schary, Eleanore Griffin",Boys Town,WINNER
1938,1939,11,WRITING (Original Story),"Marcella Burke, Frederick Kohner",Mad about Music,NOMINATED
1938,1939,11,WRITING (Original Story),Frank Wead,Test Pilot,NOMINATED
1938,1939,11,WRITING (Screenplay),"John Meehan, Dore Schary",Boys Town,NOMINATED
1938,1939,11,WRITING (Screenplay),"Ian Dalrymple, Frank Wead, Elizabeth Hill",The Citadel,NOMINATED
1938,1939,11,WRITING (Screenplay),"Julius J. Epstein, Lenore Coffee",Four Daughters,NOMINATED
1938,1939,11,WRITING (Screenplay),"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",Pygmalion,WINNER
1938,1939,11,WRITING (Screenplay),Robert Riskin,You Can't Take It with You,NOMINATED
1938,1939,11,SPECIAL AWARD, Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth,,WINNER
1938,1939,11,SPECIAL AWARD, Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty.,,WINNER
1938,1939,11,SPECIAL AWARD, Walt Disney for Snow White and the Seven Dwarfs,,WINNER
1938,1939,11,SPECIAL AWARD, Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production,,WINNER
1938,1939,11,SPECIAL AWARD,For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production,,WINNER
1938,1939,11,SPECIAL AWARD, J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography.,,WINNER
1938,1939,11,IRVING G. THALBERG MEMORIAL AWARD,Samuel Goldwyn,,NOMINATED
1938,1939,11,IRVING G. THALBERG MEMORIAL AWARD,Joe Pasternak,,NOMINATED
1938,1939,11,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,,NOMINATED
1938,1939,11,IRVING G. THALBERG MEMORIAL AWARD,Hunt Stromberg,,NOMINATED
1938,1939,11,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis,,WINNER
1938,1939,11,IRVING G. THALBERG MEMORIAL AWARD,Walter Wanger,,NOMINATED
1938,1939,11,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,,NOMINATED
1939,1940,12,ACTOR,Robert Donat,"Goodbye, Mr. Chips",WINNER
1939,1940,12,ACTOR,Clark Gable,Gone with the Wind,NOMINATED
1939,1940,12,ACTOR,Laurence Olivier,Wuthering Heights,NOMINATED
1939,1940,12,ACTOR,Mickey Rooney,Babes in Arms,NOMINATED
1939,1940,12,ACTOR,James Stewart,Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Brian Aherne,Juarez,NOMINATED
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Harry Carey,Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Brian Donlevy,Beau Geste,NOMINATED
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,Stagecoach,WINNER
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Claude Rains,Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,ACTRESS,Bette Davis,Dark Victory,NOMINATED
1939,1940,12,ACTRESS,Irene Dunne,Love Affair,NOMINATED
1939,1940,12,ACTRESS,Greta Garbo,Ninotchka,NOMINATED
1939,1940,12,ACTRESS,Greer Garson,"Goodbye, Mr. Chips",NOMINATED
1939,1940,12,ACTRESS,Vivien Leigh,Gone with the Wind,WINNER
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Olivia de Havilland,Gone with the Wind,NOMINATED
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Geraldine Fitzgerald,Wuthering Heights,NOMINATED
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind,WINNER
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Edna May Oliver,Drums along the Mohawk,NOMINATED
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Maria Ouspenskaya,Love Affair,NOMINATED
1939,1940,12,ART DIRECTION,"Hans Dreier, Robert Odell",Beau Geste,NOMINATED
1939,1940,12,ART DIRECTION,Charles D. Hall,Captain Fury,NOMINATED
1939,1940,12,ART DIRECTION,"Jack Otterson, Martin Obzina",First Love,NOMINATED
1939,1940,12,ART DIRECTION,Lyle Wheeler,Gone with the Wind,WINNER
1939,1940,12,ART DIRECTION,"Van Nest Polglase, Al Herman",Love Affair,NOMINATED
1939,1940,12,ART DIRECTION,John Victor Mackay,Man of Conquest,NOMINATED
1939,1940,12,ART DIRECTION,Lionel Banks,Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,ART DIRECTION,Anton Grot,The Private Lives of Elizabeth and Essex,NOMINATED
1939,1940,12,ART DIRECTION,"William Darling, George Dudley",The Rains Came,NOMINATED
1939,1940,12,ART DIRECTION,Alexander Toluboff,Stagecoach,NOMINATED
1939,1940,12,ART DIRECTION,"Cedric Gibbons, William A. Horning",The Wizard of Oz,NOMINATED
1939,1940,12,ART DIRECTION,James Basevi,Wuthering Heights,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Joseph Valentine,First Love,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Victor Milner,The Great Victor Herbert,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Joseph H. August,Gunga Din,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Gregg Toland,Intermezzo,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Tony Gaudio,Juarez,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),George Folsey,Lady of the Tropics,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Norbert Brodine,Of Mice and Men,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Joseph Walker,Only Angels Have Wings,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Arthur Miller,The Rains Came,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Bert Glennon,Stagecoach,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Gregg Toland,Wuthering Heights,WINNER
1939,1940,12,CINEMATOGRAPHY (Color),"Ray Rennahan, Bert Glennon",Drums along the Mohawk,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Color),"Georges Perinal, Osmond Borradaile",Four Feathers,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Color),"Ernest Haller, Ray Rennahan",Gone with the Wind,WINNER
1939,1940,12,CINEMATOGRAPHY (Color),"William V. Skall, Bernard Knowles",The Mikado,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Color),"Sol Polito, W. Howard Greene",The Private Lives of Elizabeth and Essex,NOMINATED
1939,1940,12,CINEMATOGRAPHY (Color),Hal Rosson,The Wizard of Oz,NOMINATED
1939,1940,12,DIRECTING,Victor Fleming,Gone with the Wind,WINNER
1939,1940,12,DIRECTING,Sam Wood,"Goodbye, Mr. Chips",NOMINATED
1939,1940,12,DIRECTING,Frank Capra,Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,DIRECTING,John Ford,Stagecoach,NOMINATED
1939,1940,12,DIRECTING,William Wyler,Wuthering Heights,NOMINATED
1939,1940,12,FILM EDITING,"Hal C. Kern, James E. Newcom",Gone with the Wind,WINNER
1939,1940,12,FILM EDITING,Charles Frend,"Goodbye, Mr. Chips",NOMINATED
1939,1940,12,FILM EDITING,"Gene Havlick, Al Clark",Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,FILM EDITING,Barbara McLean,The Rains Came,NOMINATED
1939,1940,12,FILM EDITING,"Otho Lovering, Dorothy Spencer",Stagecoach,NOMINATED
1939,1940,12,MUSIC (Original Score),Max Steiner,Dark Victory,NOMINATED
1939,1940,12,MUSIC (Original Score),Werner Janssen,Eternally Yours,NOMINATED
1939,1940,12,MUSIC (Original Score),Victor Young,Golden Boy,NOMINATED
1939,1940,12,MUSIC (Original Score),Max Steiner,Gone with the Wind,NOMINATED
1939,1940,12,MUSIC (Original Score),Victor Young,Gulliver's Travels,NOMINATED
1939,1940,12,MUSIC (Original Score),"Lud Gluskin, Lucien Moraweck",The Man in the Iron Mask,NOMINATED
1939,1940,12,MUSIC (Original Score),Victor Young,Man of Conquest,NOMINATED
1939,1940,12,MUSIC (Original Score),Anthony Collins,Nurse Edith Cavell,NOMINATED
1939,1940,12,MUSIC (Original Score),Aaron Copland,Of Mice and Men,NOMINATED
1939,1940,12,MUSIC (Original Score),Alfred Newman,The Rains Came,NOMINATED
1939,1940,12,MUSIC (Original Score),Herbert Stothart,The Wizard of Oz,WINNER
1939,1940,12,MUSIC (Original Score),Alfred Newman,Wuthering Heights,NOMINATED
1939,1940,12,MUSIC (Scoring),"George E. Stoll, Roger Edens",Babes in Arms,NOMINATED
1939,1940,12,MUSIC (Scoring),Charles Previn,First Love,NOMINATED
1939,1940,12,MUSIC (Scoring),"Phil Boutelje, Arthur Lange",The Great Victor Herbert,NOMINATED
1939,1940,12,MUSIC (Scoring),Alfred Newman,The Hunchback of Notre Dame,NOMINATED
1939,1940,12,MUSIC (Scoring),Lou Forbes,Intermezzo,NOMINATED
1939,1940,12,MUSIC (Scoring),Dimitri Tiomkin,Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,MUSIC (Scoring),Aaron Copland,Of Mice and Men,NOMINATED
1939,1940,12,MUSIC (Scoring),Erich Wolfgang Korngold,The Private Lives of Elizabeth and Essex,NOMINATED
1939,1940,12,MUSIC (Scoring),Cy Feuer,She Married a Cop,NOMINATED
1939,1940,12,MUSIC (Scoring),"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",Stagecoach,WINNER
1939,1940,12,MUSIC (Scoring),Louis Silvers,Swanee River,NOMINATED
1939,1940,12,MUSIC (Scoring),Alfred Newman,They Shall Have Music,NOMINATED
1939,1940,12,MUSIC (Scoring),Victor Young,Way Down South,NOMINATED
1939,1940,12,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,Gulliver's Travels,NOMINATED
1939,1940,12,MUSIC (Song),Music and Lyrics by Irving Berlin,Second Fiddle,NOMINATED
1939,1940,12,MUSIC (Song),Music by Harold Arlen; Lyrics by E. Y. Harburg,The Wizard of Oz,WINNER
1939,1940,12,MUSIC (Song),Music and Lyrics by Buddy de Sylva,Love Affair,NOMINATED
1939,1940,12,OUTSTANDING PRODUCTION,Warner Bros.-First National,Dark Victory,NOMINATED
1939,1940,12,OUTSTANDING PRODUCTION,Selznick International Pictures,Gone with the Wind,WINNER
1939,1940,12,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,"Goodbye, Mr. Chips",NOMINATED
1939,1940,12,OUTSTANDING PRODUCTION,RKO Radio,Love Affair,NOMINATED
1939,1940,12,OUTSTANDING PRODUCTION,Columbia,Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Ninotchka,NOMINATED
1939,1940,12,OUTSTANDING PRODUCTION,Hal Roach (production company),Of Mice and Men,NOMINATED
1939,1940,12,OUTSTANDING PRODUCTION,Walter Wanger (production company),Stagecoach,NOMINATED
1939,1940,12,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Wizard of Oz,NOMINATED
1939,1940,12,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Wuthering Heights,NOMINATED
1939,1940,12,SHORT SUBJECT (Cartoon),Warner Bros.,Detouring America,NOMINATED
1939,1940,12,SHORT SUBJECT (Cartoon),Metro-Goldwyn-Mayer,Peace on Earth,NOMINATED
1939,1940,12,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Pointer,NOMINATED
1939,1940,12,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Ugly Duckling,WINNER
1939,1940,12,SHORT SUBJECT (One-reel),Paramount,Busy Little Bears,WINNER
1939,1940,12,SHORT SUBJECT (One-reel),RKO Radio,Information Please,NOMINATED
1939,1940,12,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,Prophet without Honor,NOMINATED
1939,1940,12,SHORT SUBJECT (One-reel),Warner Bros.,Sword Fishing,NOMINATED
1939,1940,12,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,Drunk Driving,NOMINATED
1939,1940,12,SHORT SUBJECT (Two-reel),RKO Radio,Five Times Five,NOMINATED
1939,1940,12,SHORT SUBJECT (Two-reel),Warner Bros.,Sons of Liberty,WINNER
1939,1940,12,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Balalaika,NOMINATED
1939,1940,12,SOUND RECORDING,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director",Gone with the Wind,NOMINATED
1939,1940,12,SOUND RECORDING,"Denham Studio Sound Department, A. W. Watkins, Sound Director","Goodbye, Mr. Chips",NOMINATED
1939,1940,12,SOUND RECORDING,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",The Great Victor Herbert,NOMINATED
1939,1940,12,SOUND RECORDING,"RKO Radio Studio Sound Department, John Aalberg, Sound Director",The Hunchback of Notre Dame,NOMINATED
1939,1940,12,SOUND RECORDING,"Republic Studio Sound Department, Charles L. Lootens, Sound Director",Man of Conquest,NOMINATED
1939,1940,12,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,SOUND RECORDING,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director",Of Mice and Men,NOMINATED
1939,1940,12,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",The Private Lives of Elizabeth and Essex,NOMINATED
1939,1940,12,SOUND RECORDING,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",The Rains Came,NOMINATED
1939,1940,12,SOUND RECORDING,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",When Tomorrow Comes,WINNER
1939,1940,12,SPECIAL EFFECTS,"John R. Cosgrove, Fred Albin, Arthur Johns",Gone with the Wind,NOMINATED
1939,1940,12,SPECIAL EFFECTS,"Roy Davidson, Edwin C. Hahn",Only Angels Have Wings,NOMINATED
1939,1940,12,SPECIAL EFFECTS,"Byron Haskin, Nathan Levinson",The Private Lives of Elizabeth and Essex,NOMINATED
1939,1940,12,SPECIAL EFFECTS,"Fred Sersen, E. H. Hansen",The Rains Came,WINNER
1939,1940,12,SPECIAL EFFECTS,Roy Seawright,Topper Takes a Trip,NOMINATED
1939,1940,12,SPECIAL EFFECTS,"Farciot Edouart, Gordon Jennings, Loren Ryder",Union Pacific,NOMINATED
1939,1940,12,SPECIAL EFFECTS,"A. Arnold Gillespie, Douglas Shearer",The Wizard of Oz,NOMINATED
1939,1940,12,WRITING (Original Story),Felix Jackson,Bachelor Mother,NOMINATED
1939,1940,12,WRITING (Original Story),"Mildred Cram, Leo McCarey",Love Affair,NOMINATED
1939,1940,12,WRITING (Original Story),Lewis R. Foster,Mr. Smith Goes to Washington,WINNER
1939,1940,12,WRITING (Original Story),Melchior Lengyel,Ninotchka,NOMINATED
1939,1940,12,WRITING (Original Story),Lamar Trotti,Young Mr. Lincoln,NOMINATED
1939,1940,12,WRITING (Screenplay),Sidney Howard,Gone with the Wind,WINNER
1939,1940,12,WRITING (Screenplay),"R. C. Sherriff, Claudine West, Eric Maschwitz","Goodbye, Mr. Chips",NOMINATED
1939,1940,12,WRITING (Screenplay),Sidney Buchman,Mr. Smith Goes to Washington,NOMINATED
1939,1940,12,WRITING (Screenplay),"Charles Brackett, Billy Wilder, Walter Reisch",Ninotchka,NOMINATED
1939,1940,12,WRITING (Screenplay),"Charles MacArthur, Ben Hecht",Wuthering Heights,NOMINATED
1939,1940,12,SPECIAL AWARD, Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks,,WINNER
1939,1940,12,SPECIAL AWARD, The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership.  Presented to Jean Hersholt,,WINNER
1939,1940,12,SPECIAL AWARD, Judy Garland for her outstanding performance as a screen juvenile during the past year.,,WINNER
1939,1940,12,SPECIAL AWARD, William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind.,,WINNER
1939,1940,12,SPECIAL AWARD, the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen.,,WINNER
1939,1940,12,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,,WINNER
1940,1941,13,ACTOR,Charles Chaplin,The Great Dictator,NOMINATED
1940,1941,13,ACTOR,Henry Fonda,The Grapes of Wrath,NOMINATED
1940,1941,13,ACTOR,Raymond Massey,Abe Lincoln in Illinois,NOMINATED
1940,1941,13,ACTOR,Laurence Olivier,Rebecca,NOMINATED
1940,1941,13,ACTOR,James Stewart,The Philadelphia Story,WINNER
1940,1941,13,ACTOR IN A SUPPORTING ROLE,Albert Basserman,Foreign Correspondent,NOMINATED
1940,1941,13,ACTOR IN A SUPPORTING ROLE,Walter Brennan,The Westerner,WINNER
1940,1941,13,ACTOR IN A SUPPORTING ROLE,William Gargan,They Knew What They Wanted,NOMINATED
1940,1941,13,ACTOR IN A SUPPORTING ROLE,Jack Oakie,The Great Dictator,NOMINATED
1940,1941,13,ACTOR IN A SUPPORTING ROLE,James Stephenson,The Letter,NOMINATED
1940,1941,13,ACTRESS,Bette Davis,The Letter,NOMINATED
1940,1941,13,ACTRESS,Joan Fontaine,Rebecca,NOMINATED
1940,1941,13,ACTRESS,Katharine Hepburn,The Philadelphia Story,NOMINATED
1940,1941,13,ACTRESS,Ginger Rogers,Kitty Foyle,WINNER
1940,1941,13,ACTRESS,Martha Scott,Our Town,NOMINATED
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Judith Anderson,Rebecca,NOMINATED
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,The Grapes of Wrath,WINNER
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Ruth Hussey,The Philadelphia Story,NOMINATED
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Barbara O'Neil,"All This, and Heaven Too",NOMINATED
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Marjorie Rambeau,Primrose Path,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),"Hans Dreier, Robert Usher","Arise, My Love",NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),"Lionel Banks, Robert Peterson",Arizona,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),John Otterson,The Boys from Syracuse,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),John Victor Mackay,The Dark Command,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),Alexander Golitzen,Foreign Correspondent,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),"Richard Day, Joseph C. Wright",Lillian Russell,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),"Van Nest Polglase, Mark-Lee Kirk",My Favorite Wife,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),John DuCasse Schulze,"My Son, My Son!",NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),Lewis J. Rachmil,Our Town,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),"Cedric Gibbons, Paul Groesse",Pride and Prejudice,WINNER
1940,1941,13,ART DIRECTION (Black-and-White),Lyle Wheeler,Rebecca,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),Anton Grot,The Sea Hawk,NOMINATED
1940,1941,13,ART DIRECTION (Black-and-White),James Basevi,The Westerner,NOMINATED
1940,1941,13,ART DIRECTION (Color),"Cedric Gibbons, John S. Detlie",Bitter Sweet,NOMINATED
1940,1941,13,ART DIRECTION (Color),"Richard Day, Joseph C. Wright",Down Argentine Way,NOMINATED
1940,1941,13,ART DIRECTION (Color),"Hans Dreier, Roland Anderson",North West Mounted Police,NOMINATED
1940,1941,13,ART DIRECTION (Color),Vincent Korda,The Thief of Bagdad,WINNER
1940,1941,13,CINEMATOGRAPHY (Black-and-White),James Wong Howe,Abe Lincoln in Illinois,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Black-and-White),Ernest Haller,"All This, and Heaven Too",NOMINATED
1940,1941,13,CINEMATOGRAPHY (Black-and-White),"Charles B. Lang, Jr.","Arise, My Love",NOMINATED
1940,1941,13,CINEMATOGRAPHY (Black-and-White),Harold Rosson,Boom Town,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Black-and-White),Rudolph Maté,Foreign Correspondent,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Black-and-White),Gaetano (Tony) Gaudio,The Letter,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Black-and-White),Gregg Toland,The Long Voyage Home,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Black-and-White),George Barnes,Rebecca,WINNER
1940,1941,13,CINEMATOGRAPHY (Black-and-White),Joseph Valentine,Spring Parade,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,Waterloo Bridge,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Color),"Oliver T. Marsh, Allen Davey",Bitter Sweet,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Color),"Arthur Miller, Ray Rennahan",The Blue Bird,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Color),"Leon Shamroy, Ray Rennahan",Down Argentine Way,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Color),"Victor Milner, W. Howard Greene",North West Mounted Police,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Color),"Sidney Wagner, William V. Skall",Northwest Passage,NOMINATED
1940,1941,13,CINEMATOGRAPHY (Color),Georges Périnal,The Thief of Bagdad,WINNER
