Year_Film,Year_Ceremony,Ceremony,Category,Name,Film,Winner
1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,NOMINATED
1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,NOMINATED
1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,NOMINATED
1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,WINNER
1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,NOMINATED
1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,NOMINATED
1929,1930,3,ART DIRECTION,(William Cameron Menzies),Bulldog Drummond,NOMINATED
1929,1930,3,ART DIRECTION,Herman Rosse,King of Jazz,WINNER
1929,1930,3,ART DIRECTION,(Hans Dreier),The Love Parade,NOMINATED
1929,1930,3,ART DIRECTION,(Jack Okey),Sally,NOMINATED
1929,1930,3,ART DIRECTION,(Hans Dreier),The Vagabond King,NOMINATED
1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,NOMINATED
1929,1930,3,CINEMATOGRAPHY,(William Daniels),Anna Christie,NOMINATED
1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,NOMINATED
1929,1930,3,CINEMATOGRAPHY,(Victor Milner),The Love Parade,NOMINATED
1929,1930,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,WINNER
1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,NOMINATED
1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,NOMINATED
1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,NOMINATED
1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,WINNER
1929,1930,3,DIRECTING,King Vidor,Hallelujah,NOMINATED
1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,WINNER
1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,NOMINATED
1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,NOMINATED
1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,NOMINATED
1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,NOMINATED
1929,1930,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,WINNER
1929,1930,3,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa,NOMINATED
1929,1930,3,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,NOMINATED
1929,1930,3,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,NOMINATED
1929,1930,3,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame,NOMINATED
1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,NOMINATED
1929,1930,3,WRITING,Frances Marion,The Big House,WINNER
1929,1930,3,WRITING,(Julian Josephson),Disraeli,NOMINATED
1929,1930,3,WRITING,(John Meehan),The Divorcee,NOMINATED
1929,1930,3,WRITING,(Howard Estabrook),Street of Chance,NOMINATED
1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,WINNER
1930,1931,4,ACTOR,Jackie Cooper,Skippy,NOMINATED
1930,1931,4,ACTOR,Richard Dix,Cimarron,NOMINATED
1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,NOMINATED
1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,NOMINATED
1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,NOMINATED
1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,WINNER
1930,1931,4,ACTRESS,Irene Dunne,Cimarron,NOMINATED
1930,1931,4,ACTRESS,Ann Harding,Holiday,NOMINATED
1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,NOMINATED
1930,1931,4,ART DIRECTION,Max Rée,Cimarron,WINNER
1930,1931,4,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",Just Imagine,NOMINATED
1930,1931,4,ART DIRECTION,Hans Dreier,Morocco,NOMINATED
1930,1931,4,ART DIRECTION,Anton Grot,Svengali,NOMINATED
1930,1931,4,ART DIRECTION,Richard Day,Whoopee!,NOMINATED
1930,1931,4,CINEMATOGRAPHY,Edward Cronjager,Cimarron,NOMINATED
1930,1931,4,CINEMATOGRAPHY,Lee Garmes,Morocco,NOMINATED
1930,1931,4,CINEMATOGRAPHY,Charles Lang,The Right to Love,NOMINATED
1930,1931,4,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,NOMINATED
1930,1931,4,CINEMATOGRAPHY,Floyd Crosby,Tabu,WINNER
1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,NOMINATED
1930,1931,4,DIRECTING,Clarence Brown,A Free Soul,NOMINATED
1930,1931,4,DIRECTING,Lewis Milestone,The Front Page,NOMINATED
1930,1931,4,DIRECTING,Josef Von Sternberg,Morocco,NOMINATED
1930,1931,4,DIRECTING,Norman Taurog,Skippy,WINNER
1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,WINNER
1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,NOMINATED
1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,NOMINATED
1930,1931,4,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,NOMINATED
1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,NOMINATED
1930,1931,4,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,,NOMINATED
1930,1931,4,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,NOMINATED
1930,1931,4,SOUND RECORDING,Paramount Publix Studio Sound Department,,WINNER
1930,1931,4,SOUND RECORDING,RKO Radio Studio Sound Department,,NOMINATED
1930,1931,4,WRITING (Adaptation),Howard Estabrook,Cimarron,WINNER
1930,1931,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,NOMINATED
1930,1931,4,WRITING (Adaptation),Horace Jackson,Holiday,NOMINATED
1930,1931,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",Little Caesar,NOMINATED
1930,1931,4,WRITING (Adaptation),"Joseph L. Mankiewicz, Sam Mintz",Skippy,NOMINATED
1930,1931,4,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,WINNER
1930,1931,4,WRITING (Original Story),Rowland Brown,The Doorway to Hell,NOMINATED
1930,1931,4,WRITING (Original Story),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter,NOMINATED
1930,1931,4,WRITING (Original Story),"John Bright, Kubec Glasmon",The Public Enemy,NOMINATED
1930,1931,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",Smart Money,NOMINATED
1931,1932,5,ACTOR,Wallace Beery,The Champ,WINNER
1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,NOMINATED
1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,WINNER
1931,1932,5,ACTRESS,Marie Dressler,Emma,NOMINATED
1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,NOMINATED
1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,WINNER
1931,1932,5,ART DIRECTION,Lazare Meerson,À Nous la Liberté,NOMINATED
1931,1932,5,ART DIRECTION,Richard Day,Arrowsmith,NOMINATED
1931,1932,5,ART DIRECTION,Gordon Wiles,Transatlantic,WINNER
1931,1932,5,CINEMATOGRAPHY,Ray June,Arrowsmith,NOMINATED
1931,1932,5,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,NOMINATED
1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,WINNER
1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,WINNER
1931,1932,5,DIRECTING,King Vidor,The Champ,NOMINATED
1931,1932,5,DIRECTING,Josef Von Sternberg,Shanghai Express,NOMINATED
1931,1932,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,NOMINATED
1931,1932,5,OUTSTANDING PRODUCTION,Fox,Bad Girl,NOMINATED
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,NOMINATED
1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,NOMINATED
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,WINNER
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,NOMINATED
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,NOMINATED
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,NOMINATED
1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,WINNER
1931,1932,5,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",It's Got Me Again,NOMINATED
1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey's Orphans,NOMINATED
1931,1932,5,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",The Loud Mouth,NOMINATED
1931,1932,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,WINNER
1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,NOMINATED
1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,NOMINATED
1931,1932,5,SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,NOMINATED
1931,1932,5,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,NOMINATED
1931,1932,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,WINNER
1931,1932,5,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,NOMINATED
1931,1932,5,SOUND RECORDING,Paramount Publix Studio Sound Department,,WINNER
1931,1932,5,SOUND RECORDING,RKO Radio Studio Sound Department,,NOMINATED
1931,1932,5,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,,NOMINATED
1931,1932,5,WRITING (Adaptation),Sidney Howard,Arrowsmith,NOMINATED
1931,1932,5,WRITING (Adaptation),Edwin Burke,Bad Girl,WINNER
1931,1932,5,WRITING (Adaptation),"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde,NOMINATED
1931,1932,5,WRITING (Original Story),Frances Marion,The Champ,WINNER
1931,1932,5,WRITING (Original Story),"Grover Jones, William Slavens McNutt",Lady and Gent,NOMINATED
1931,1932,5,WRITING (Original Story),Lucien Hubbard,The Star Witness,NOMINATED
1931,1932,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,NOMINATED
1931,1932,5,SPECIAL AWARD," Walt Disney for the creation of ""Mickey Mouse.""",,WINNER
1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,NOMINATED
1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,WINNER
1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,NOMINATED
1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,WINNER
1932,1933,6,ACTRESS,May Robson,Lady for a Day,NOMINATED
1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,NOMINATED
1932,1933,6,ART DIRECTION,William S. Darling,Cavalcade,WINNER
1932,1933,6,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,NOMINATED
1932,1933,6,ART DIRECTION,Cedric Gibbons,When Ladies Meet,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,Percy Ikerd (Fox),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,William Tummel (Fox),,WINNER
1932,1933,6,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),,WINNER
1932,1933,6,ASSISTANT DIRECTOR,Bunny Dull (Metro-Goldwyn-Mayer),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,John S. Waters (Metro-Goldwyn-Mayer),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,Charles Barton (Paramount),,WINNER
1932,1933,6,ASSISTANT DIRECTOR,Sidney S. Brod (Paramount),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,Arthur Jacobson (Paramount),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,Eddie Killey (RKO Radio),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),,WINNER
1932,1933,6,ASSISTANT DIRECTOR,Fred Fox (United Artists),,WINNER
1932,1933,6,ASSISTANT DIRECTOR,Benjamin Silvey (United Artists),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,Scott Beal (Universal),,WINNER
1932,1933,6,ASSISTANT DIRECTOR,Joe McDonough (Universal),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,W. J. Reiter (Universal),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,Al Alborn (Warner Bros.),,NOMINATED
1932,1933,6,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),,WINNER
1932,1933,6,ASSISTANT DIRECTOR,Frank X. Shaw (Warner Bros.),,NOMINATED
1932,1933,6,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms,WINNER
1932,1933,6,CINEMATOGRAPHY,George J. Folsey,Reunion in Vienna,NOMINATED
1932,1933,6,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,NOMINATED
1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,WINNER
1932,1933,6,DIRECTING,Frank Capra,Lady for a Day,NOMINATED
1932,1933,6,DIRECTING,George Cukor,Little Women,NOMINATED
1932,1933,6,OUTSTANDING PRODUCTION,Fox,Cavalcade,WINNER
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,A Farewell to Arms,NOMINATED
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,NOMINATED
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,I Am a Fugitive from a Chain Gang,NOMINATED
1932,1933,6,OUTSTANDING PRODUCTION,Columbia,Lady for a Day,NOMINATED
1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,NOMINATED
1932,1933,6,OUTSTANDING PRODUCTION,London Films,The Private Life of Henry VIII,NOMINATED
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,NOMINATED
1932,1933,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,NOMINATED
1932,1933,6,OUTSTANDING PRODUCTION,Fox,State Fair,NOMINATED
1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Building a Building,NOMINATED
1932,1933,6,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",The Merry Old Soul,NOMINATED
1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,WINNER
1932,1933,6,SHORT SUBJECT (Comedy),"Warren Doane, Producer",Mister Mugg,NOMINATED
1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",A Preferred List,NOMINATED
1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,WINNER
1932,1933,6,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,WINNER
1932,1933,6,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Menu,NOMINATED
1932,1933,6,SHORT SUBJECT (Novelty),Educational,The Sea,NOMINATED
1932,1933,6,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,WINNER
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",42nd Street,NOMINATED
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Gold Diggers of 1933,NOMINATED
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",I Am a Fugitive from a Chain Gang,NOMINATED
1932,1933,6,WRITING (Adaptation),Robert Riskin,Lady for a Day,NOMINATED
1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,WINNER
1932,1933,6,WRITING (Adaptation),"Paul Green, Sonya Levien",State Fair,NOMINATED
1932,1933,6,WRITING (Original Story),Robert Lord,One Way Passage,WINNER
1932,1933,6,WRITING (Original Story),Frances Marion,The Prizefighter and the Lady,NOMINATED
1932,1933,6,WRITING (Original Story),Charles MacArthur,Rasputin and the Empress,NOMINATED
1934,1935,7,ACTOR,Clark Gable,It Happened One Night,WINNER
1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,NOMINATED
1934,1935,7,ACTOR,William Powell,The Thin Man,NOMINATED
1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,WINNER
1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,NOMINATED
1934,1935,7,ACTRESS,Grace Moore,One Night of Love,NOMINATED
1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,NOMINATED
